pak_path,pak_string_offset_hex,canonical_family,canonical_member,registry_status,decoder_class,tng_pack_start_hex,duration_seconds,content_class,semantic_label,name_content_relation,display_state,best_stage,notes
FMV\CHALL07.PSS,0x14c3,challenge_preview_family_01,,name_only_unmodeled,none,,,,,unresolved_name,no_decoder,Stage 57,Path exists in TNG.PAK but no node/payload bridge work yet.
FMV\FUJ3.PSS,0x5422,early_branded_preview_family_01,FMV\ELF3.PSS,soft_clean_alias_sibling,early_u16_alias,0x34310A3B,4.398033,branded_preview_alias,ELF-branded sibling clip exposed via Fujitsu-named entry,sibling_alias,plays_alias_clip,Stage 70,"Addressing works, but visible payload resolves to ELF-branded sibling family rather than Fujitsu-specific clip."
FMV\GO2.PSS,0x6d35,early_branded_preview_family_01,FMV\ELF3.PSS,soft_clean_alias_sibling,early_u16_alias,0x34554A3F,5.161022,branded_preview_alias,ELF-branded sibling clip exposed via GO-named entry,sibling_alias,plays_alias_clip,Stage 70,"Operational route valid; content resolves to sibling branded preview, not GO-specific payload."
FMV\MICROIDS.PSS,0x786c,microids_logo_fmv,,operational_soft_clean,early_u16_payload_edge,0x0963FEDF,48.8,logo_fmv,Microids logo FMV,canonical_match,plays_named_clip,Stage 68,Operational decoder via pre_u32_m8 minus 0xA0000000 plus nearest-pack snap.
FMV\CHALL09.PSS,0x8043,challenge_preview_family_01,,name_only_unmodeled,none,,,,,unresolved_name,no_decoder,Stage 57,Path exists in TNG.PAK but no node/payload bridge work yet.
\FMV\CHALL02.PSS,0x8f62,challenge_preview_family_01,,operational_soft_clean,early_u16_payload_edge,0x04006400,8.799622,challenge_preview_fmv,Challenge preview FMV,canonical_match,plays_named_clip,Stage 68,Operational decoder via pre_u32_m32 direct target with nearest-pack snap.
FMV\INV1.PSS,0xd0d4,inventory_or_intro_fmv,,exact_clean,early_u16_payload_edge,0x381F2B25,23.084422,inventory_or_intro_fmv,Inventory / intro FMV,canonical_match,plays_named_clip,Stage 68,Exact named payload-edge via pre_u32_m24 direct.
FMV\ELF3.PSS,0xf311,early_branded_preview_family_01,FMV\ELF3.PSS,operational_soft_clean,early_u16_payload_edge,0x38302B25,35.686767,branded_preview_fmv,Steel Monkeys / ELF branded preview anchor,canonical_anchor,plays_named_clip,Stage 70,Canonical early branded family anchor after alias resolution.
FMV\MASTER03.PSS,0x10f75,late_branded_preview_family_alt_01,FMV\MASTER03.PSS,operational_soft_clean,late_alternate_subtype,0x382B6B25,18.52,master_rallye_branded_preview_fmv,Master Rallye branded preview candidate,canonical_match,plays_named_clip,Stage 71,Operational alternate-subtype decoder via pre_u32_m16 swap16 + nearest pack.
FMV\CREDITS.PSS,0x121d4,late_branded_preview_family_alt_01,FMV\MASTER03.PSS,soft_clean_alias_sibling,late_alternate_alias,0x33454A33,13.72,branded_preview_alias,Bago-branded preview sibling / alias,sibling_alias,plays_alias_clip,Stage 72,Resolved as sibling/alias branded preview rather than true credits sequence.
FMV\GO3.PSS,0x13c2d,late_branded_preview_family_alt_01,FMV\GO3.PSS,exact_clean,late_alternate_payload_edge,0x37DA6B21,17.56,track_menu_preview_fmv,GO-branded preview FMV,canonical_match,plays_named_clip,Stage 71,Exact alternate-subtype payload-edge via pre_u32_m20 direct.
FMV\CHALL04.PSS,0x15fcb,page1_low16_bankroot,FMV\CHALL04.PSS,exact_clean,late_page1_exact_member,0x32E14A2F,25.0,challenge_preview_fmv,BFGoodrich-style multi-vehicle challenge FMV,canonical_match,plays_named_clip,Stage 63,Exact late-FMV bridge using page1 subgroup anchor + exact member key + pre_u32_m24 direct.
FMV\BAGOO3.PSS,0x185aa,late_branded_preview_family_alt_01,,evidence_only,swapped_bankhint_hiword_root,0x204DF85F,46.002344,degraded_preview_candidate,Mostly black / degraded Bago evidence clip,weak_evidence,degraded_or_unreliable,Stage 66,Video-valid route exists but remains mostly black/degraded; not promoted.
FMV\BFGOOD2.PSS,0x1959f,late_branded_preview_family_alt_01,FMV\BFGOOD2.PSS,operational_soft_clean,swapped_bankhint_hiword_root,0x3C280A47,25.479122,track_menu_preview_fmv,BFGoodrich-branded preview FMV,canonical_match,plays_named_clip,Stage 66,Strong local decoder via post_u32_m4.swap16 with stable nearest-pack route.
FMV\CHALL06.PSS,0x1b0da,late_branded_preview_family_alt_01,FMV\BFGOOD2.PSS,soft_clean_alias_sibling,swapped_bankhint_hiword_root,0x3C2C4A47,25.079122,branded_preview_alias,Branded preview sibling / alias exposed via CHALL06,sibling_alias,plays_alias_clip,Stage 66,Verified sibling/alias branch visually close to BFGOOD2-branded family.
\FMV\TROPHY.PSS,0x1b34f,page1_low16_bankroot,\FMV\TROPHY.PSS,exact_clean,late_page1_exact_member,0x3D9EFE11,24.96,trophy_fmv,Trophy / checkered-globe award FMV,canonical_match,plays_named_clip,Stage 63,Exact late-FMV bridge using page1 subgroup anchor + exact member key + pre_u32_m24 direct.
FMV\FUJ2.PSS,0x1c7f5,early_branded_preview_family_01,FMV\ELF3.PSS,soft_clean_alias_sibling,late_alternate_semantic_split,0x383DEB25,10.36,branded_preview_alias,Steel Monkeys branded preview sibling / alias,sibling_alias,plays_alias_clip,Stage 72,Residual weak branch resolved semantically to early branded family via post_u32_p16 minus 0x30000000.
FMV\BFGOOD1.PSS,0x1d362,page1_low16_bankroot,FMV\BFGOOD1.PSS,exact_clean,late_page1_exact_member,0x31164E1A,25.0,track_menu_preview_fmv,BFGoodrich-branded preview FMV,canonical_match,plays_named_clip,Stage 63,Exact late-FMV bridge using page1 subgroup anchor + exact member key + pre_u32_m24 direct.
