domain,sig8,body_prefix,matched_field,record_offset,record_offset_hex,candidate_rank,candidate_start_hex,candidate_end_hex,content_class,family_id,promoted_status,semantic_label,source_candidate
43fc86,0000010c43fc86e9,4cc3,pos028,196598496,0BB7DAE0,1,34FD27FB,34FFE7FB,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant,43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss
43fc86,0000010c43fc86e9,521f,pos028,197418381,0BC45D8D,1,34FD27FB,34FFE7FB,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant,43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss
43fc86,0000010c43fc86e9,4cc3,pos028,602351059,23E725D3,1,34FD27FB,34FFE7FB,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant,43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss
43fc86,0000010c43fc86e9,521f,pos028,603170944,23F3A880,1,34FD27FB,34FFE7FB,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant,43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss
43fc86,0000010c43fc86e9,4cc3,pos028,1006841143,3C032D37,1,34FD27FB,34FFE7FB,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant,43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss
43fc86,0000010c43fc86e9,521f,pos028,1007654588,3C0F96BC,1,34FD27FB,34FFE7FB,challenge_preview,challenge_preview_family_misc,secondary_evidence,Chevreuse challenge preview variant,43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss
43fc86,0000010c43fc86e9,4cc3,pos01c,195890308,0BAD0C84,2,3625B5A0,362875A0,track_menu_preview,track_menu_preview_family_01,promoted_clean_soft,Elf track/menu preview,43fc86_stage41_rank02_pos01c_3625B5A0_362875A0.pss
43fc86,0000010c43fc86e9,4cc3,pos01c,601642871,23DC5777,2,3625B5A0,362875A0,track_menu_preview,track_menu_preview_family_01,promoted_clean_soft,Elf track/menu preview,43fc86_stage41_rank02_pos01c_3625B5A0_362875A0.pss
43fc86,0000010c43fc86e9,4cc3,pos01c,1006138454,3BF87456,2,3625B5A0,362875A0,track_menu_preview,track_menu_preview_family_01,promoted_clean_soft,Elf track/menu preview,43fc86_stage41_rank02_pos01c_3625B5A0_362875A0.pss
43fc86,0000010c43fc86e9,530f,pos094,196890762,0BBC508A,3,36AA429B,36AD029B,track_menu_preview,track_menu_preview_family_01,promoted_clean,Fujitsu Siemens track/menu preview,43fc86_stage41_rank03_pos094_36AA429B_36AD029B.pss
43fc86,0000010c43fc86e9,530f,pos094,602643325,23EB9B7D,3,36AA429B,36AD029B,track_menu_preview,track_menu_preview_family_01,promoted_clean,Fujitsu Siemens track/menu preview,43fc86_stage41_rank03_pos094_36AA429B_36AD029B.pss
43fc86,0000010c43fc86e9,530f,pos094,1007130993,3C079971,3,36AA429B,36AD029B,track_menu_preview,track_menu_preview_family_01,promoted_clean,Fujitsu Siemens track/menu preview,43fc86_stage41_rank03_pos094_36AA429B_36AD029B.pss
43fc86,0000010c43fc86e9,6487,pos020,196524627,0BB6BA53,4,2436F4D6,2439B4D6,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload,43fc86_stage41_rank04_pos020_2436F4D6_2439B4D6.pss
43fc86,0000010c43fc86e9,6487,pos020,602277190,23E60546,4,2436F4D6,2439B4D6,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload,43fc86_stage41_rank04_pos020_2436F4D6_2439B4D6.pss
43fc86,0000010c43fc86e9,6487,pos020,1006767870,3C020EFE,4,2436F4D6,2439B4D6,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload,43fc86_stage41_rank04_pos020_2436F4D6_2439B4D6.pss
43fc86,0000010c43fc86e9,521f,pos01c,195954235,0BAE063B,5,30B67AE2,30B93AE2,track_menu_preview,track_menu_preview_family_01,promoted_clean,Bago track/menu preview,43fc86_stage41_rank05_pos01c_30B67AE2_30B93AE2.pss
43fc86,0000010c43fc86e9,521f,pos01c,601706798,23DD512E,5,30B67AE2,30B93AE2,track_menu_preview,track_menu_preview_family_01,promoted_clean,Bago track/menu preview,43fc86_stage41_rank05_pos01c_30B67AE2_30B93AE2.pss
43fc86,0000010c43fc86e9,521f,pos01c,1006201978,3BF96C7A,5,30B67AE2,30B93AE2,track_menu_preview,track_menu_preview_family_01,promoted_clean,Bago track/menu preview,43fc86_stage41_rank05_pos01c_30B67AE2_30B93AE2.pss
43fc86,0000010c43fc86e9,4cc3,pos094,195890308,0BAD0C84,6,350D5479,35101479,challenge_preview,challenge_preview_family_misc,promoted_clean,Chevreuse challenge preview,43fc86_stage41_rank06_pos094_350D5479_35101479.pss
43fc86,0000010c43fc86e9,4cc3,pos094,601642871,23DC5777,6,350D5479,35101479,challenge_preview,challenge_preview_family_misc,promoted_clean,Chevreuse challenge preview,43fc86_stage41_rank06_pos094_350D5479_35101479.pss
43fc86,0000010c43fc86e9,4cc3,pos094,1006138454,3BF87456,6,350D5479,35101479,challenge_preview,challenge_preview_family_misc,promoted_clean,Chevreuse challenge preview,43fc86_stage41_rank06_pos094_350D5479_35101479.pss
43fc86,0000010c43fc86e9,6487,pos008,196524627,0BB6BA53,7,23858764,23884764,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload,43fc86_stage41_rank07_pos008_23858764_23884764.pss
43fc86,0000010c43fc86e9,6487,pos008,602277190,23E60546,7,23858764,23884764,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload,43fc86_stage41_rank07_pos008_23858764_23884764.pss
43fc86,0000010c43fc86e9,6487,pos008,1006767870,3C020EFE,7,23858764,23884764,video_like_nonstandard,video_like_nonstandard,rejected,broken nonstandard video-like payload,43fc86_stage41_rank07_pos008_23858764_23884764.pss
