branch_family,sig8,body_prefix,field_pos_dec,field_pos_hex,bank_id,hits,branch_records,coverage_pct,stage5_bank_class,manual_status_stage5,manual_note_stage5,stage4_status,status_rank,candidate_file,thumbnail_file,selected_from,rank,manual_status,manual_note,stage5_branch_outcome
0000010c43fc6f25|9201,0000010c43fc6f25,9201,140,0x08C,BANK_10,1,4,25.0,likely_nonpreview_or_noise,,,low_confidence_or_nonpreview,99,,,stage4_unresolved,4,,,resolved_nonpreview_or_noise
0000010c43fc6f85|4039,0000010c43fc6f85,4039,148,0x094,BANK_02,6,9,66.67,rejected_artifact,artifact_prone_unusable,User reported visible but artifacted / not playable.,likely_preview,1,43fc6f_stage4_BANK_02_likely_preview_02FDE80B_033D644F.pss,43fc6f_stage4_BANK_02_likely_preview_02FDE80B_033D644F.png,stage4_pruned,5,,,resolved_rejected_nonusable
0000010c43fc6f85|4805,0000010c43fc6f85,4805,20,0x014,BANK_20,6,29,20.69,clean_menu_background,validated_menu_background_clean,User-confirmed clean main-menu background FMV / ambient loop (stage4 BANK_20).,extended_preview_candidate,3,43fc6f_stage4_BANK_20_extended_preview_candidate_39B31E38_3A389E38.pss,43fc6f_stage4_BANK_20_extended_preview_candidate_39B31E38_3A389E38.png,stage4_pruned,1,,,resolved_clean_menu_background
0000010c43fc6f8b|201c,0000010c43fc6f8b,201c,136,0x088,BANK_07,1,2,50.0,rejected_broken,broken_unusable,User reported file is broken / does not play cleanly.,likely_preview,1,43fc6f_stage4_BANK_07_likely_preview_1A00B153_1A596A26.pss,43fc6f_stage4_BANK_07_likely_preview_1A00B153_1A596A26.png,stage4_pruned,6,,,resolved_rejected_nonusable
0000010c43fc6f8b|2402,0000010c43fc6f8b,2402,20,0x014,BANK_16,6,41,14.63,clean_challenge_preview,validated_preview_clean,User-confirmed clean challenge preview (cand1).,validated_preview,0,,,stage4_pruned,0,validated_preview,User-confirmed clean challenge preview (cand1).,resolved_clean_challenge_preview
0000010c43fc6f91|2015,0000010c43fc6f91,2015,20,0x014,BANK_20,4,6,66.67,clean_menu_background,validated_menu_background_clean,User-confirmed clean main-menu background FMV / ambient loop (stage4 BANK_20).,extended_preview_candidate,3,43fc6f_stage4_BANK_20_extended_preview_candidate_39B31E38_3A389E38.pss,43fc6f_stage4_BANK_20_extended_preview_candidate_39B31E38_3A389E38.png,stage4_pruned,1,,,resolved_clean_menu_background
0000010c43fc6f91|201c,0000010c43fc6f91,201c,108,0x06C,BANK_17,12,31,38.71,clean_challenge_preview,validated_preview_clean,User-confirmed clean challenge preview (stage4 BANK_17).,likely_preview,1,43fc6f_stage4_BANK_17_likely_preview_34B5CA43_350B4A43.pss,43fc6f_stage4_BANK_17_likely_preview_34B5CA43_350B4A43.png,stage4_pruned,0,,,resolved_clean_challenge_preview
0000010c43fc6f91|2402,0000010c43fc6f91,2402,148,0x094,BANK_14,3,53,5.66,clean_challenge_preview,validated_preview_clean,User-confirmed clean challenge preview (cand3).,validated_preview,0,,,stage4_pruned,0,validated_preview,User-confirmed clean challenge preview (cand3).,resolved_clean_challenge_preview
0000010c43fc6f92|c807,0000010c43fc6f92,c807,20,0x014,BANK_16,15,40,37.5,clean_challenge_preview,validated_preview_clean,User-confirmed clean challenge preview (cand1).,validated_preview,0,,,stage4_pruned,0,validated_preview,User-confirmed clean challenge preview (cand1).,resolved_clean_challenge_preview
0000010c43fc6f92|c900,0000010c43fc6f92,c900,164,0x0A4,BANK_14,6,61,9.84,clean_challenge_preview,validated_preview_clean,User-confirmed clean challenge preview (cand3).,validated_preview,0,,,stage4_pruned,0,validated_preview,User-confirmed clean challenge preview (cand3).,resolved_clean_challenge_preview
0000010c43fc6ff3|d6cd,0000010c43fc6ff3,d6cd,164,0x0A4,BANK_11,3,3,100.0,rejected_artifact,artifact_prone_unusable,User reported garbled/unclear playback with artifacts (cand2).,artifact_prone_nonpreview,99,,,stage4_unresolved,5,,,resolved_rejected_nonusable
